x,EggLengthData
145.341,11.79
147.319,55.534
150.286,41.636
152.264,33.992
152.462,4.824
152.858,11.073
153.451,31.905
154.242,42.319
154.44,5.513
155.231,5.511
155.429,41.621
155.627,5.509
155.825,3.425
156.023,5.508
156.418,5.507
159.188,11.054
159.386,50.637
160.375,30.495
160.77,49.939
161.364,49.937
161.561,46.464
162.353,41.601
163.342,13.82
164.331,24.928
165.32,58.953
167.298,27.003
168.485,51.305
169.87,52.69
171.452,52.685
173.43,11.707
174.221,26.288
175.408,49.201
176.199,55.449
177.386,69.334
179.364,56.828
180.354,23.492
180.749,13.074
181.343,112.378
182.332,13.069
185.497,98.477
186.486,136.668
187.475,45.693
188.464,24.162
189.255,35.271
190.244,89.435
190.442,69.99
191.233,90.821
191.431,44.292
191.827,40.819
192.42,44.29
192.618,29.706
193.211,33.871
193.409,38.037
194.003,29.702
194.398,30.395
195.387,16.503
195.981,21.362
196.376,167.195
196.574,78.999
197.365,213.719
198.157,75.523
198.354,42.883
198.552,97.049
199.343,10.936
200.332,11.627
200.728,7.459
201.519,28.29
201.717,10.234
201.915,56.761
202.311,3.288
202.508,7.454
203.497,36.618
204.091,94.949
204.289,36.616
204.882,54.669
205.08,31.752
205.278,17.168
205.476,22.723
205.673,123.417
206.465,59.526
207.454,75.495
207.652,123.411
208.443,43.548
209.234,123.407
209.432,163.684
210.421,248.403
211.608,50.483
212.399,72.703
213.19,43.534
213.586,43.533
214.377,48.391
215.366,96.305
216.355,3.247
216.553,45.607
217.542,81.021
218.531,116.435
218.927,81.017
219.322,160.877
219.52,197.682
219.718,277.542
220.311,81.707
220.509,153.929
221.498,79.62
222.487,66.423
223.081,80.31
223.476,106.003
224.268,135.168
224.465,160.862
225.455,149.747
225.652,135.164
226.444,3.217
226.641,129.605
227.235,147.659
227.433,121.964
227.828,123.352
228.422,146.961
228.62,62.238
228.817,124.043
229.213,124.042
229.411,48.347
229.609,57.374
230.4,63.622
230.598,70.566
231.389,130.285
231.587,164.313
231.785,119.868
232.378,81.671
232.576,115.004
233.565,235.14
234.554,136.526
235.345,136.524
235.543,169.857
236.334,133.743
236.73,132.353
237.323,59.435
237.521,67.073
237.719,109.433
238.312,91.376
238.51,19.848
238.708,154.569
238.906,64.291
239.104,5.957
239.301,3.179
239.499,171.234
239.895,3.177
240.093,128.871
240.488,340.675
240.884,21.23
241.082,62.201
241.477,301.089
241.675,199.7
241.873,3.171
242.269,7.337
242.466,12.892
242.664,233.724
243.06,127.473
243.258,3.167
243.455,148.305
243.653,61.499
243.851,136.499
244.247,56.636
244.444,153.858
244.642,210.802
244.84,144.135
245.038,141.356
245.434,97.605
245.631,96.216
245.829,99.687
246.027,142.048
246.423,85.797
246.62,55.24
247.016,158.017
247.412,158.016
247.609,56.626
248.598,194.124
249.192,30.927
249.39,123.982
249.588,328.843
249.785,199.676
249.983,148.981
250.379,175.368
250.577,201.062
251.17,148.283
251.368,87.171
251.566,171.198
251.763,132.309
251.961,56.614
252.357,3.14
252.555,50.362
252.753,88.556
253.148,92.721
253.346,220.498
253.544,39.942
253.742,14.942
253.939,103.83
254.335,64.94
254.533,195.495
254.731,87.855
255.126,103.826
255.324,61.465
255.522,107.992
255.72,404.519
255.918,37.852
256.511,182.989
256.709,64.238
257.104,250.348
257.302,17.709
257.5,68.403
257.698,475.347
257.896,112.846
258.489,14.928
258.687,148.955
259.28,194.092
259.478,219.091
259.676,530.202
259.874,187.84
260.072,37.84
260.269,193.395
260.665,194.088
260.863,71.865
261.456,113.53
261.654,71.168
261.852,42.695
262.445,89.916
262.643,159.36
263.237,269.775
263.632,148.246
263.83,432.273
264.226,144.077
264.423,268.382
264.621,45.465
264.819,268.381
265.017,147.547
265.61,66.99
265.808,121.85
266.402,30.182
266.599,216.987
266.797,57.264
267.391,179.485
267.588,222.54
267.984,134.344
268.182,255.871
268.775,226.008
268.973,155.174
269.566,257.256
270.16,221.143
270.556,167.67
270.753,204.475
271.742,167.666
272.336,200.998
272.534,195.442
272.731,155.858
272.929,189.191
273.325,161.412
273.721,219.744
274.314,191.964
274.512,229.464
274.71,162.102
274.907,138.49
275.105,185.017
275.303,194.045
275.501,203.766
275.699,348.21
275.896,271.126
276.292,85.708
276.49,173.208
276.688,180.152
276.886,409.318
277.281,203.067
277.677,39.871
277.875,175.981
278.27,408.619
278.468,151.674
278.666,233.618
278.864,110.701
279.061,3.061
279.259,114.866
279.457,146.81
279.655,296.115
279.853,269.031
280.644,6.529
280.842,12.084
281.633,272.498
281.831,360.692
282.424,355.829
282.622,131.523
282.82,236.384
283.215,173.882
283.611,206.52
283.809,164.853
284.6,297.489
284.798,178.044
284.996,455.127
285.194,354.432
285.589,118.32
285.787,232.208
286.38,188.456
286.578,266.234
286.776,324.566
287.172,276.648
287.567,328.036
287.765,264.841
287.963,188.452
288.161,281.507
288.556,193.311
288.754,105.81
289.348,109.975
289.545,193.308
289.743,221.085
289.941,137.057
290.337,274.556
290.535,216.916
290.732,221.777
290.93,137.054
291.721,227.329
291.919,233.579
292.71,3.021
292.908,398.854
293.304,137.047
293.699,288.435
