time,length
4.90686,16.0567
5.87897,41.5584
6.94367,62.3377
7.86949,148.288
8.84161,156.316
9.86001,151.122
10.8321,135.065
11.8505,124.675
12.8226,128.453
13.841,163.4
14.8595,158.678
15.8316,162.456
16.85,193.152
17.8684,214.404
18.8868,234.238
19.9052,264.935
20.8773,267.769
21.8957,266.824
22.8678,275.325
23.8862,287.131
24.8583,277.214
25.8767,281.464
26.8951,278.158
27.8673,273.908
28.8394,278.63
29.8115,286.187
30.9225,290.909
31.8946,301.771
32.913,316.883
33.9314,322.078
34.8572,322.55
35.9219,354.664
36.894,314.994
37.8661,313.577
38.8846,317.355
39.8567,322.078
40.8751,327.273
41.8935,334.829
42.9119,319.717
43.9303,358.914
44.9024,296.104
48.8834,338.135
50.874,347.107
51.9387,360.803
52.9571,352.302
53.9755,352.302
55.966,352.775
63.0022,352.302
64.0206,376.859
64.9928,378.749
66.0112,388.194
76.9359,336.246
78.0469,356.553
